X: 1874 | Y: 1849 | Direction: N | Button: 1
X: 1861 | Y: 1853 | Direction: N | Button: 1
X: 1867 | Y: 1849 | Direction: N | Button: 1
X: 1863 | Y: 1851 | Direction: N | Button: 1
X: 1867 | Y: 1850 | Direction: N | Button: 1
X: 1867 | Y: 1848 | Direction: N | Button: 1
X: 1869 | Y: 1839 | Direction: N | Button: 1
X: 1867 | Y: 1849 | Direction: N | Button: 1
X: 1867 | Y: 1851 | Direction: N | Button: 1
X: 0 | Y: 1849 | Direction: L | Button: 1
X: 0 | Y: 1839 | Direction: L | Button: 1
X: 0 | Y: 1849 | Direction: L | Button: 1
X: 0 | Y: 1853 | Direction: L | Button: 1
X: 0 | Y: 1847 | Direction: L | Button: 1
X: 0 | Y: 1849 | Direction: L | Button: 1
X: 0 | Y: 1848 | Direction: L | Button: 1
X: 0 | Y: 1849 | Direction: L | Button: 1
X: 0 | Y: 1849 | Direction: L | Button: 1
X: 0 | Y: 1849 | Direction: L | Button: 1
X: 0 | Y: 0 | Direction: FL | Button: 1
X: 0 | Y: 0 | Direction: FL | Button: 1
X: 0 | Y: 0 | Direction: FL | Button: 1
X: 0 | Y: 0 | Direction: FL | Button: 1
X: 0 | Y: 0 | Direction: FL | Button: 1
X: 0 | Y: 0 | Direction: FL | Button: 1
X: 0 | Y: 0 | Direction: FL | Button: 1
X: 0 | Y: 0 | Direction: FL | Button: 1
X: 285 | Y: 1471 | Direction: L | Button: 1
X: 1874 | Y: 1843 | Direction: N | Button: 1
X: 1855 | Y: 1848 | Direction: N | Button: 1
X: 1627 | Y: 0 | Direction: F | Button: 1
X: 1144 | Y: 0 | Direction: F | Button: 1
X: 1079 | Y: 0 | Direction: F | Button: 1
X: 1079 | Y: 0 | Direction: F | Button: 1
X: 1076 | Y: 0 | Direction: F | Button: 1
X: 1080 | Y: 0 | Direction: F | Button: 1
X: 1279 | Y: 0 | Direction: F | Button: 1
X: 1873 | Y: 287 | Direction: F | Button: 1
X: 1875 | Y: 1848 | Direction: N | Button: 1
X: 2459 | Y: 1479 | Direction: R | Button: 1
X: 4095 | Y: 0 | Direction: FR | Button: 1
X: 4095 | Y: 0 | Direction: FR | Button: 1
X: 4095 | Y: 0 | Direction: FR | Button: 1
X: 4095 | Y: 0 | Direction: FR | Button: 1
X: 4095 | Y: 0 | Direction: FR | Button: 1
X: 4095 | Y: 0 | Direction: FR | Button: 1
X: 4095 | Y: 0 | Direction: FR | Button: 1
X: 4095 | Y: 0 | Direction: FR | Button: 1
X: 4095 | Y: 0 | Direction: FR | Button: 1
X: 4095 | Y: 0 | Direction: FR | Button: 1
X: 4095 | Y: 445 | Direction: FR | Button: 1
X: 4095 | Y: 1843 | Direction: R | Button: 1
X: 4095 | Y: 1853 | Direction: R | Button: 1
X: 4095 | Y: 2040 | Direction: R | Button: 1
X: 4095 | Y: 2045 | Direction: R | Button: 1
X: 4095 | Y: 2106 | Direction: BR | Button: 1
X: 4095 | Y: 2807 | Direction: BR | Button: 1
X: 4095 | Y: 4095 | Direction: BR | Button: 1
X: 4095 | Y: 4095 | Direction: BR | Button: 1
X: 4095 | Y: 4095 | Direction: BR | Button: 1
X: 4095 | Y: 4095 | Direction: BR | Button: 1
X: 4095 | Y: 4095 | Direction: BR | Button: 1
X: 2852 | Y: 4095 | Direction: BR | Button: 1
X: 2421 | Y: 4095 | Direction: BR | Button: 1
X: 1983 | Y: 4095 | Direction: B | Button: 1
X: 1867 | Y: 4095 | Direction: B | Button: 1
X: 1865 | Y: 4095 | Direction: B | Button: 1
X: 1865 | Y: 4095 | Direction: B | Button: 1
X: 1869 | Y: 4095 | Direction: B | Button: 1
X: 1867 | Y: 4095 | Direction: B | Button: 1
X: 1869 | Y: 4095 | Direction: B | Button: 1
X: 1823 | Y: 4095 | Direction: B | Button: 1
X: 1337 | Y: 4095 | Direction: B | Button: 1
X: 615 | Y: 4095 | Direction: B | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 813 | Y: 4095 | Direction: B | Button: 1
X: 1865 | Y: 4095 | Direction: B | Button: 1
X: 1865 | Y: 4095 | Direction: B | Button: 1
X: 1867 | Y: 4095 | Direction: B | Button: 1
X: 1867 | Y: 4095 | Direction: B | Button: 1
X: 1868 | Y: 4095 | Direction: B | Button: 1
X: 1868 | Y: 4095 | Direction: B | Button: 1
X: 1865 | Y: 4095 | Direction: B | Button: 1
X: 1868 | Y: 4095 | Direction: B | Button: 1
X: 1867 | Y: 4095 | Direction: B | Button: 1
X: 1877 | Y: 4095 | Direction: B | Button: 1
X: 1865 | Y: 4095 | Direction: B | Button: 1
X: 1613 | Y: 4095 | Direction: B | Button: 1
X: 1507 | Y: 4095 | Direction: B | Button: 1
X: 1367 | Y: 4095 | Direction: B | Button: 1
X: 1083 | Y: 4095 | Direction: B | Button: 1
X: 981 | Y: 4095 | Direction: B | Button: 1
X: 1273 | Y: 4095 | Direction: B | Button: 1
X: 1867 | Y: 4095 | Direction: B | Button: 1
X: 1861 | Y: 4095 | Direction: B | Button: 1
X: 1867 | Y: 4095 | Direction: B | Button: 1
X: 1865 | Y: 4095 | Direction: B | Button: 1
X: 1865 | Y: 4095 | Direction: B | Button: 1
X: 1867 | Y: 4095 | Direction: B | Button: 1
X: 1867 | Y: 4095 | Direction: B | Button: 1
X: 1867 | Y: 4095 | Direction: B | Button: 1
X: 1866 | Y: 4095 | Direction: B | Button: 1
X: 1868 | Y: 4095 | Direction: B | Button: 1
X: 1812 | Y: 4095 | Direction: B | Button: 1
X: 1047 | Y: 4095 | Direction: B | Button: 1
X: 543 | Y: 4095 | Direction: B | Button: 1
X: 147 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 3977 | Direction: BL | Button: 1
X: 0 | Y: 3303 | Direction: BL | Button: 1
X: 0 | Y: 3174 | Direction: BL | Button: 1
X: 0 | Y: 2642 | Direction: BL | Button: 1
X: 0 | Y: 2271 | Direction: BL | Button: 1
X: 0 | Y: 1849 | Direction: L | Button: 1
X: 0 | Y: 1852 | Direction: L | Button: 1
X: 0 | Y: 1849 | Direction: L | Button: 1
X: 0 | Y: 1849 | Direction: L | Button: 1
X: 0 | Y: 1849 | Direction: L | Button: 1
X: 0 | Y: 1849 | Direction: L | Button: 1
X: 0 | Y: 1849 | Direction: L | Button: 1
X: 0 | Y: 1851 | Direction: L | Button: 1
X: 0 | Y: 1851 | Direction: L | Button: 1
X: 0 | Y: 1849 | Direction: L | Button: 1
X: 0 | Y: 1033 | Direction: L | Button: 1
X: 0 | Y: 763 | Direction: N | Button: 1
X: 0 | Y: 209 | Direction: FL | Button: 1
X: 0 | Y: 0 | Direction: FL | Button: 1
X: 0 | Y: 0 | Direction: FL | Button: 1
X: 0 | Y: 0 | Direction: FL | Button: 1
X: 0 | Y: 261 | Direction: FL | Button: 1
X: 1255 | Y: 1829 | Direction: N | Button: 1
X: 1865 | Y: 1851 | Direction: N | Button: 1
X: 1868 | Y: 1851 | Direction: N | Button: 0
X: 1867 | Y: 1848 | Direction: N | Button: 0
X: 1866 | Y: 1849 | Direction: N | Button: 0
X: 1851 | Y: 1849 | Direction: N | Button: 0
X: 1863 | Y: 1849 | Direction: N | Button: 1
X: 1865 | Y: 1849 | Direction: N | Button: 1
X: 1865 | Y: 1849 | Direction: N | Button: 1
X: 2983 | Y: 1849 | Direction: R | Button: 1
X: 4095 | Y: 2573 | Direction: BR | Button: 1
X: 4095 | Y: 4095 | Direction: BR | Button: 1
X: 4095 | Y: 4095 | Direction: BR | Button: 1
X: 4095 | Y: 4054 | Direction: BR | Button: 1
X: 4095 | Y: 3403 | Direction: BR | Button: 1
X: 4095 | Y: 3065 | Direction: BR | Button: 1
X: 4095 | Y: 3089 | Direction: BR | Button: 1
X: 4095 | Y: 3054 | Direction: BR | Button: 1
X: 4095 | Y: 3089 | Direction: BR | Button: 1
X: 4095 | Y: 3493 | Direction: BR | Button: 1
X: 4095 | Y: 3493 | Direction: BR | Button: 1
X: 4095 | Y: 3481 | Direction: BR | Button: 1
X: 4095 | Y: 3630 | Direction: BR | Button: 1
X: 4095 | Y: 4095 | Direction: BR | Button: 0
X: 4095 | Y: 4095 | Direction: BR | Button: 0
X: 4095 | Y: 4095 | Direction: BR | Button: 0
X: 4095 | Y: 4095 | Direction: BR | Button: 1
X: 3816 | Y: 2267 | Direction: BR | Button: 1
X: 2895 | Y: 2031 | Direction: R | Button: 1
X: 2886 | Y: 1979 | Direction: R | Button: 1
X: 2870 | Y: 1839 | Direction: R | Button: 1
X: 2957 | Y: 1850 | Direction: R | Button: 1
X: 2344 | Y: 1853 | Direction: R | Button: 1
X: 1867 | Y: 1849 | Direction: N | Button: 1
X: 2773 | Y: 1851 | Direction: R | Button: 1
X: 4095 | Y: 3231 | Direction: BR | Button: 1
X: 4095 | Y: 4095 | Direction: BR | Button: 1
X: 4095 | Y: 4095 | Direction: BR | Button: 1
X: 4095 | Y: 4095 | Direction: BR | Button: 1
X: 4095 | Y: 4095 | Direction: BR | Button: 1
X: 4095 | Y: 4095 | Direction: BR | Button: 1
X: 4095 | Y: 4095 | Direction: BR | Button: 1
X: 4095 | Y: 4095 | Direction: BR | Button: 1
X: 4095 | Y: 4095 | Direction: BR | Button: 1
X: 4095 | Y: 4095 | Direction: BR | Button: 1
X: 4095 | Y: 3602 | Direction: BR | Button: 1
X: 4095 | Y: 3473 | Direction: BR | Button: 1
X: 4095 | Y: 3319 | Direction: BR | Button: 0
X: 4095 | Y: 3321 | Direction: BR | Button: 0
X: 4095 | Y: 3323 | Direction: BR | Button: 0
X: 4095 | Y: 3311 | Direction: BR | Button: 0
X: 4095 | Y: 4095 | Direction: BR | Button: 1
X: 4095 | Y: 3921 | Direction: BR | Button: 1
X: 2511 | Y: 1850 | Direction: R | Button: 1
X: 1865 | Y: 1847 | Direction: N | Button: 1
X: 1863 | Y: 1849 | Direction: N | Button: 1
X: 1865 | Y: 1845 | Direction: N | Button: 1
X: 715 | Y: 4095 | Direction: B | Button: 1
X: 662 | Y: 4095 | Direction: B | Button: 1
X: 6 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
